,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
1630,Decision - Unanimous,5,25:00,L,Alexander Volkov,0,31 of 77,40%,127 of 177,1 of 2,50%,0,0,0:46,22 of 62,6 of 12,3 of 3,31 of 76,0 of 1,0 of 0,W,Curtis Blaydes,0,69 of 99,69%,116 of 163,14 of 25,56%,0,0,19:52,34 of 60,7 of 9,28 of 30,30 of 52,6 of 6,33 of 41
1631,Decision - Unanimous,3,15:00,W,Alexander Volkov,0,86 of 152,56%,86 of 152,0 of 0,---,0,0,0:00,44 of 101,26 of 32,16 of 19,86 of 152,0 of 0,0 of 0,L,Greg Hardy,0,46 of 135,34%,51 of 140,0 of 2,0%,0,0,0:00,23 of 92,13 of 29,10 of 14,46 of 135,0 of 0,0 of 0
1632,KO/TKO,3,14:49,L,Alexander Volkov,0,121 of 171,70%,133 of 183,1 of 2,50%,0,0,1:46,78 of 122,29 of 33,14 of 16,88 of 129,20 of 29,13 of 13,W,Derrick Lewis,1,39 of 70,55%,40 of 71,0 of 2,0%,0,1,0:43,31 of 61,6 of 7,2 of 2,21 of 47,1 of 3,17 of 20
1633,KO/TKO,4,16:38,W,Alexander Volkov,1,48 of 90,53%,96 of 144,2 of 2,100%,0,0,1:46,37 of 75,8 of 11,3 of 4,32 of 71,3 of 5,13 of 14,L,Fabricio Werdum,0,48 of 88,54%,83 of 130,3 of 9,33%,0,2,6:39,30 of 66,12 of 14,6 of 8,22 of 41,1 of 2,25 of 45
1634,KO/TKO,3,13:30,W,Alexander Volkov,1,135 of 253,53%,144 of 264,2 of 2,100%,0,0,0:58,84 of 178,18 of 27,33 of 48,114 of 214,3 of 11,18 of 28,L,Stefan Struve,0,41 of 162,25%,41 of 162,0 of 0,---,0,0,0:00,26 of 125,8 of 27,7 of 10,41 of 162,0 of 0,0 of 0
1635,Decision - Unanimous,3,15:00,W,Alexander Volkov,0,122 of 182,67%,125 of 185,0 of 0,---,0,0,0:23,77 of 132,29 of 34,16 of 16,105 of 157,17 of 25,0 of 0,L,Roy Nelson,0,32 of 67,47%,40 of 75,1 of 8,12%,0,0,4:32,18 of 52,9 of 9,5 of 6,25 of 58,6 of 7,1 of 2
1636,Decision - Split,3,15:00,W,Alexander Volkov,0,45 of 84,53%,91 of 141,1 of 2,50%,0,0,3:45,35 of 71,9 of 12,1 of 1,31 of 68,14 of 16,0 of 0,L,Timothy Johnson,1,43 of 93,46%,62 of 116,1 of 8,12%,0,0,4:33,36 of 83,5 of 7,2 of 3,13 of 53,8 of 10,22 of 30
1637,KO/TKO,5,20:26,L,Augusto Sakai,0,99 of 173,57%,120 of 196,0 of 0,---,0,0,2:22,66 of 130,25 of 34,8 of 9,62 of 127,35 of 43,2 of 3,W,Alistair Overeem,0,92 of 114,80%,106 of 131,3 of 3,100%,0,0,5:29,53 of 73,30 of 31,9 of 10,28 of 43,16 of 16,48 of 55
1638,Decision - Split,3,15:00,W,Augusto Sakai,0,78 of 161,48%,89 of 174,0 of 0,---,0,0,1:46,35 of 105,28 of 38,15 of 18,62 of 144,14 of 15,2 of 2,L,Blagoy Ivanov,0,66 of 125,52%,71 of 130,1 of 3,33%,0,0,1:08,47 of 105,18 of 19,1 of 1,52 of 107,12 of 15,2 of 3
1639,KO/TKO,1,0:59,W,Augusto Sakai,1,15 of 27,55%,15 of 27,0 of 0,---,0,0,0:03,13 of 25,2 of 2,0 of 0,6 of 18,7 of 7,2 of 2,L,Marcin Tybura,0,6 of 7,85%,6 of 7,0 of 0,---,0,0,0:00,1 of 2,1 of 1,4 of 4,6 of 7,0 of 0,0 of 0
1640,Decision - Split,3,15:00,W,Augusto Sakai,0,42 of 132,31%,51 of 141,0 of 1,0%,0,0,2:01,26 of 108,8 of 12,8 of 12,30 of 113,12 of 19,0 of 0,L,Andrei Arlovski,0,75 of 175,42%,82 of 182,0 of 0,---,0,0,0:26,31 of 126,29 of 31,15 of 18,65 of 164,10 of 11,0 of 0
1641,KO/TKO,3,14:03,W,Augusto Sakai,0,111 of 218,50%,125 of 233,1 of 1,100%,0,0,1:09,81 of 169,21 of 35,9 of 14,69 of 167,30 of 38,12 of 13,L,Chase Sherman,0,79 of 178,44%,84 of 183,0 of 0,---,0,0,1:12,37 of 120,24 of 36,18 of 22,73 of 165,6 of 13,0 of 0
1642,KO/TKO,2,8:09,W,Augusto Sakai,2,79 of 123,64%,107 of 156,0 of 0,---,0,0,--,66 of 106,3 of 6,10 of 11,26 of 58,14 of 18,39 of 47,L,Marcos Conrado Jr.,0,13 of 38,34%,16 of 41,1 of 7,14%,0,0,--,10 of 35,2 of 2,1 of 1,13 of 37,0 of 1,0 of 0
1643,KO/TKO,2,7:22,L,Shamil Abdurakhimov,0,3 of 8,37%,3 of 8,0 of 0,---,0,0,0:00,3 of 7,0 of 1,0 of 0,3 of 8,0 of 0,0 of 0,W,Curtis Blaydes,0,25 of 43,58%,46 of 74,5 of 5,100%,0,0,6:07,23 of 41,1 of 1,1 of 1,2 of 10,0 of 0,23 of 33
1644,KO/TKO,2,8:15,W,Shamil Abdurakhimov,1,36 of 87,41%,36 of 87,0 of 3,0%,0,0,0:00,24 of 72,10 of 13,2 of 2,26 of 74,10 of 13,0 of 0,L,Marcin Tybura,0,28 of 70,40%,28 of 70,0 of 0,---,0,0,0:00,17 of 58,6 of 7,5 of 5,26 of 65,2 of 5,0 of 0
1645,Decision - Unanimous,3,15:00,W,Shamil Abdurakhimov,0,32 of 70,45%,67 of 108,2 of 4,50%,0,0,3:26,19 of 50,9 of 16,4 of 4,12 of 41,6 of 11,14 of 18,L,Andrei Arlovski,0,18 of 58,31%,27 of 71,2 of 3,66%,0,0,0:18,8 of 45,6 of 9,4 of 4,9 of 39,6 of 13,3 of 6
1646,KO/TKO,1,1:24,W,Shamil Abdurakhimov,1,6 of 10,60%,6 of 10,0 of 0,---,0,0,0:01,5 of 8,1 of 2,0 of 0,6 of 10,0 of 0,0 of 0,L,Chase Sherman,0,5 of 13,38%,5 of 13,0 of 0,---,0,0,0:00,4 of 12,0 of 0,1 of 1,5 of 13,0 of 0,0 of 0
