,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
561,KO/TKO,5,23:39,L,Tony Ferguson,0,136 of 296,45%,136 of 296,0 of 0,---,0,0,0:00,64 of 212,36 of 43,36 of 41,136 of 296,0 of 0,0 of 0,W,Justin Gaethje,0,143 of 197,72%,143 of 197,0 of 0,---,0,0,0:00,100 of 153,13 of 14,30 of 30,143 of 197,0 of 0,0 of 0
562,TKO - Doctor's Stoppage,2,10:00,W,Tony Ferguson,0,104 of 200,52%,104 of 200,0 of 0,---,0,0,0:00,65 of 144,25 of 37,14 of 19,103 of 198,1 of 2,0 of 0,L,Donald Cerrone,0,68 of 185,36%,68 of 185,1 of 1,100%,0,0,0:07,43 of 152,15 of 23,10 of 10,68 of 184,0 of 1,0 of 0
563,KO/TKO,2,10:00,W,Tony Ferguson,0,114 of 194,58%,115 of 195,0 of 0,---,0,0,0:04,66 of 131,21 of 32,27 of 31,106 of 181,4 of 7,4 of 6,L,Anthony Pettis,1,45 of 99,45%,49 of 104,0 of 0,---,0,0,1:11,32 of 80,9 of 13,4 of 6,38 of 90,2 of 3,5 of 6
564,Submission,3,14:02,W,Tony Ferguson,0,54 of 103,52%,57 of 106,0 of 0,---,2,0,0:02,40 of 81,6 of 13,8 of 9,40 of 85,1 of 1,13 of 17,L,Kevin Lee,0,55 of 119,46%,71 of 137,3 of 6,50%,0,0,4:49,41 of 101,14 of 18,0 of 0,35 of 90,0 of 1,20 of 28
565,Decision - Unanimous,5,25:00,W,Tony Ferguson,0,199 of 401,49%,200 of 402,0 of 2,0%,0,0,0:00,126 of 312,28 of 42,45 of 47,196 of 397,3 of 4,0 of 0,L,Rafael Dos Anjos,0,121 of 276,43%,126 of 281,0 of 5,0%,0,0,0:30,84 of 223,18 of 33,19 of 20,119 of 271,1 of 1,1 of 4
566,Submission,2,7:22,W,Tony Ferguson,0,66 of 119,55%,69 of 122,0 of 0,---,3,0,0:00,42 of 92,17 of 20,7 of 7,66 of 119,0 of 0,0 of 0,L,Lando Vannata,1,40 of 110,36%,42 of 112,0 of 2,0%,0,0,1:10,26 of 82,9 of 18,5 of 10,34 of 96,2 of 6,4 of 8
567,Submission,2,7:54,W,Tony Ferguson,0,61 of 116,52%,69 of 127,0 of 2,0%,1,0,0:21,42 of 95,10 of 11,9 of 10,45 of 99,1 of 1,15 of 16,L,Edson Barboza,0,41 of 85,48%,45 of 91,2 of 3,66%,0,0,1:57,20 of 53,19 of 30,2 of 2,37 of 80,0 of 0,4 of 5
568,Decision - Unanimous,3,15:00,W,Tony Ferguson,1,83 of 149,55%,101 of 167,0 of 1,0%,2,1,1:45,51 of 91,15 of 37,17 of 21,58 of 121,4 of 4,21 of 24,L,Josh Thomson,0,33 of 100,33%,35 of 102,1 of 6,16%,0,0,2:32,17 of 77,12 of 17,4 of 6,27 of 82,3 of 13,3 of 5
569,Submission,1,2:37,W,Tony Ferguson,0,11 of 38,28%,17 of 45,1 of 1,100%,2,0,0:45,5 of 27,3 of 7,3 of 4,8 of 30,0 of 0,3 of 8,L,Gleison Tibau,0,2 of 20,10%,2 of 20,0 of 1,0%,0,0,0:00,2 of 18,0 of 1,0 of 1,2 of 20,0 of 0,0 of 0
570,Submission,2,9:19,W,Tony Ferguson,0,20 of 55,36%,38 of 76,1 of 1,100%,1,0,2:02,12 of 43,5 of 5,3 of 7,18 of 52,1 of 2,1 of 1,L,Abel Trujillo,1,15 of 76,19%,16 of 77,2 of 5,40%,0,0,2:02,14 of 75,1 of 1,0 of 0,11 of 60,1 of 9,3 of 7
571,Decision - Split,3,15:00,W,Tony Ferguson,0,23 of 80,28%,71 of 130,0 of 0,---,1,1,0:07,10 of 62,3 of 3,10 of 15,22 of 76,0 of 3,1 of 1,L,Danny Castillo,0,23 of 105,21%,30 of 114,2 of 8,25%,1,1,9:29,23 of 102,0 of 3,0 of 0,21 of 95,0 of 0,2 of 10
572,KO/TKO,1,4:06,W,Tony Ferguson,1,38 of 67,56%,40 of 69,1 of 2,50%,1,0,0:37,35 of 63,1 of 2,2 of 2,37 of 66,1 of 1,0 of 0,L,Katsunori Kikuno,0,22 of 44,50%,23 of 46,0 of 0,---,0,1,0:23,17 of 37,4 of 5,1 of 2,22 of 44,0 of 0,0 of 0
573,Submission,1,1:52,W,Tony Ferguson,0,5 of 15,33%,7 of 18,0 of 0,---,1,0,0:17,3 of 13,1 of 1,1 of 1,4 of 14,0 of 0,1 of 1,L,Mike Rio,0,4 of 8,50%,4 of 8,0 of 2,0%,0,0,0:17,3 of 7,1 of 1,0 of 0,3 of 7,1 of 1,0 of 0
574,Decision - Unanimous,3,15:00,L,Tony Ferguson,0,45 of 176,25%,45 of 176,0 of 1,0%,0,0,0:00,23 of 143,7 of 15,15 of 18,45 of 175,0 of 1,0 of 0,W,Michael Johnson,1,67 of 183,36%,67 of 183,0 of 2,0%,0,0,0:01,28 of 118,22 of 44,17 of 21,66 of 181,1 of 2,0 of 0
575,Decision - Unanimous,3,15:00,W,Tony Ferguson,0,61 of 232,26%,62 of 234,1 of 1,100%,1,0,0:10,38 of 199,6 of 10,17 of 23,54 of 219,7 of 13,0 of 0,L,Yves Edwards,0,45 of 150,30%,45 of 150,0 of 3,0%,0,0,0:03,28 of 114,7 of 23,10 of 13,45 of 147,0 of 3,0 of 0
576,TKO - Doctor's Stoppage,1,5:00,W,Tony Ferguson,0,31 of 82,37%,31 of 82,0 of 0,---,0,0,0:02,22 of 67,6 of 8,3 of 7,29 of 79,2 of 3,0 of 0,L,Aaron Riley,0,11 of 49,22%,11 of 49,0 of 0,---,0,0,0:00,3 of 35,4 of 7,4 of 7,11 of 49,0 of 0,0 of 0
577,KO/TKO,1,3:54,W,Tony Ferguson,1,21 of 38,55%,29 of 46,2 of 3,66%,0,0,1:14,19 of 32,1 of 2,1 of 4,14 of 29,2 of 3,5 of 6,L,Ramsey Nijem,0,12 of 57,21%,13 of 58,0 of 0,---,0,0,0:00,10 of 52,2 of 3,0 of 2,12 of 54,0 of 3,0 of 0
578,KO/TKO,1,0:40,W,Conor McGregor,1,19 of 26,73%,20 of 27,0 of 0,---,0,0,0:13,19 of 25,0 of 1,0 of 0,3 of 7,3 of 3,13 of 16,L,Donald Cerrone,0,0 of 1,0%,0 of 1,0 of 0,---,0,0,0:00,0 of 0,0 of 1,0 of 0,0 of 1,0 of 0,0 of 0
579,Submission,4,18:03,L,Conor McGregor,0,51 of 81,62%,96 of 128,0 of 0,---,0,0,0:00,34 of 60,16 of 19,1 of 2,35 of 65,10 of 10,6 of 6,W,Khabib Nurmagomedov,0,70 of 119,58%,104 of 157,3 of 7,42%,1,0,12:15,58 of 105,11 of 13,1 of 1,24 of 53,1 of 3,45 of 63
580,KO/TKO,2,8:04,W,Conor McGregor,3,32 of 84,38%,40 of 93,0 of 0,---,0,0,0:53,24 of 71,7 of 11,1 of 2,24 of 67,3 of 5,5 of 12,L,Eddie Alvarez,0,9 of 41,21%,12 of 46,0 of 3,0%,0,0,0:57,2 of 27,6 of 10,1 of 4,9 of 41,0 of 0,0 of 0
581,Decision - Majority,5,25:00,W,Conor McGregor,3,164 of 286,57%,197 of 322,0 of 1,0%,0,0,1:31,98 of 212,26 of 29,40 of 45,137 of 253,27 of 32,0 of 1,L,Nate Diaz,0,166 of 343,48%,252 of 435,1 of 7,14%,0,0,5:50,107 of 256,50 of 71,9 of 16,88 of 227,77 of 112,1 of 4
582,Submission,2,9:12,L,Conor McGregor,0,61 of 140,43%,66 of 145,0 of 1,0%,0,1,0:39,47 of 117,7 of 11,7 of 12,56 of 133,3 of 4,2 of 3,W,Nate Diaz,0,77 of 152,50%,89 of 169,1 of 1,100%,2,0,1:10,65 of 131,9 of 13,3 of 8,62 of 133,10 of 12,5 of 7
583,KO/TKO,1,0:13,W,Conor McGregor,1,5 of 6,83%,5 of 6,0 of 0,---,0,0,0:02,4 of 4,0 of 1,1 of 1,3 of 4,0 of 0,2 of 2,L,Jose Aldo,0,1 of 3,33%,1 of 3,0 of 0,---,0,0,0:00,1 of 3,0 of 0,0 of 0,1 of 3,0 of 0,0 of 0
584,KO/TKO,2,9:57,W,Conor McGregor,1,46 of 92,50%,74 of 120,0 of 0,---,0,0,0:04,31 of 62,15 of 30,0 of 0,39 of 84,0 of 0,7 of 8,L,Chad Mendes,0,31 of 48,64%,36 of 53,4 of 7,57%,0,0,5:17,28 of 45,1 of 1,2 of 2,14 of 25,1 of 3,16 of 20
585,KO/TKO,2,6:54,W,Conor McGregor,1,64 of 119,53%,65 of 120,0 of 0,---,0,0,0:26,49 of 99,12 of 16,3 of 4,47 of 96,10 of 14,7 of 9,L,Dennis Siver,0,32 of 104,30%,33 of 105,0 of 3,0%,0,0,0:03,13 of 68,4 of 13,15 of 23,30 of 98,2 of 6,0 of 0
586,KO/TKO,1,1:46,W,Conor McGregor,1,9 of 29,31%,9 of 29,0 of 0,---,0,0,0:03,8 of 25,1 of 4,0 of 0,5 of 25,0 of 0,4 of 4,L,Dustin Poirier,0,10 of 19,52%,10 of 19,0 of 0,---,0,0,0:00,3 of 11,0 of 0,7 of 8,10 of 19,0 of 0,0 of 0
587,KO/TKO,1,4:05,W,Conor McGregor,1,18 of 49,36%,37 of 68,1 of 1,100%,0,0,2:22,15 of 44,3 of 5,0 of 0,10 of 30,0 of 0,8 of 19,L,Diego Brandao,0,9 of 22,40%,10 of 23,0 of 2,0%,1,0,0:22,5 of 16,4 of 5,0 of 1,5 of 16,4 of 5,0 of 1
588,Decision - Unanimous,3,15:00,W,Conor McGregor,0,53 of 153,34%,71 of 173,4 of 5,80%,0,0,6:28,34 of 113,4 of 17,15 of 23,42 of 135,2 of 2,9 of 16,L,Max Holloway,0,23 of 93,24%,32 of 104,0 of 0,---,0,0,0:00,10 of 71,1 of 4,12 of 18,22 of 92,1 of 1,0 of 0
589,KO/TKO,1,1:07,W,Conor McGregor,1,21 of 35,60%,22 of 36,0 of 0,---,0,0,0:05,20 of 34,1 of 1,0 of 0,16 of 29,0 of 0,5 of 6,L,Marcus Brimage,0,12 of 41,29%,12 of 41,0 of 0,---,0,0,0:00,7 of 34,2 of 2,3 of 5,12 of 41,0 of 0,0 of 0
590,Decision - Unanimous,5,25:00,L,Dan Hooker,0,155 of 253,61%,182 of 283,4 of 9,44%,0,0,6:02,98 of 177,36 of 53,21 of 23,136 of 229,12 of 16,7 of 8,W,Dustin Poirier,0,153 of 231,66%,208 of 289,1 of 7,14%,4,0,2:49,131 of 205,20 of 24,2 of 2,116 of 188,20 of 22,17 of 21
591,Decision - Split,5,25:00,W,Dan Hooker,0,122 of 221,55%,133 of 234,1 of 5,20%,0,0,5:05,72 of 161,10 of 13,40 of 47,120 of 217,2 of 4,0 of 0,L,Paul Felder,0,110 of 230,47%,119 of 243,0 of 1,0%,0,0,0:03,64 of 170,19 of 26,27 of 34,105 of 218,5 of 12,0 of 0
592,Decision - Unanimous,3,15:00,W,Dan Hooker,1,98 of 207,47%,104 of 213,0 of 1,0%,0,0,2:29,68 of 168,7 of 13,23 of 26,76 of 182,0 of 0,22 of 25,L,Al Iaquinta,0,37 of 116,31%,38 of 117,0 of 3,0%,0,0,0:24,21 of 93,7 of 11,9 of 12,37 of 116,0 of 0,0 of 0
593,KO/TKO,1,2:33,W,Dan Hooker,1,22 of 41,53%,22 of 41,0 of 0,---,0,0,0:03,13 of 24,0 of 3,9 of 14,19 of 38,0 of 0,3 of 3,L,James Vick,0,7 of 23,30%,7 of 23,0 of 0,---,0,0,0:00,2 of 16,0 of 1,5 of 6,7 of 23,0 of 0,0 of 0
594,KO/TKO,3,12:19,L,Dan Hooker,0,81 of 204,39%,111 of 234,0 of 1,0%,0,0,0:05,59 of 161,12 of 29,10 of 14,78 of 198,3 of 6,0 of 0,W,Edson Barboza,1,126 of 226,55%,127 of 227,0 of 1,0%,0,0,1:43,71 of 160,36 of 43,19 of 23,117 of 215,9 of 11,0 of 0
595,KO/TKO,1,2:28,W,Dan Hooker,2,22 of 34,64%,22 of 34,0 of 0,---,1,0,0:15,12 of 23,4 of 4,6 of 7,19 of 31,0 of 0,3 of 3,L,Gilbert Burns,0,13 of 28,46%,13 of 29,0 of 1,0%,0,0,0:00,5 of 16,1 of 2,7 of 10,13 of 28,0 of 0,0 of 0
596,KO/TKO,1,3:00,W,Dan Hooker,1,24 of 44,54%,24 of 44,0 of 0,---,0,0,0:13,15 of 33,4 of 4,5 of 7,23 of 43,0 of 0,1 of 1,L,Jim Miller,0,10 of 20,50%,13 of 23,1 of 2,50%,0,0,0:27,6 of 16,2 of 2,2 of 2,8 of 17,2 of 3,0 of 0
597,Submission,3,10:42,W,Dan Hooker,0,17 of 40,42%,24 of 48,2 of 3,66%,1,0,3:12,3 of 16,3 of 10,11 of 14,17 of 40,0 of 0,0 of 0,L,Marc Diakiese,0,24 of 69,34%,41 of 87,0 of 5,0%,0,1,0:23,9 of 34,4 of 9,11 of 26,23 of 68,1 of 1,0 of 0
598,KO/TKO,2,8:02,W,Dan Hooker,1,69 of 141,48%,74 of 146,0 of 1,0%,0,0,0:01,40 of 108,6 of 8,23 of 25,68 of 140,0 of 0,1 of 1,L,Ross Pearson,0,38 of 88,43%,38 of 88,0 of 0,---,0,0,0:02,15 of 59,13 of 18,10 of 11,36 of 86,2 of 2,0 of 0
599,Decision - Unanimous,3,15:00,L,Dan Hooker,0,47 of 100,47%,58 of 111,0 of 0,---,0,1,0:43,43 of 86,1 of 5,3 of 9,47 of 98,0 of 1,0 of 1,W,Jason Knight,0,59 of 185,31%,80 of 208,4 of 13,30%,4,0,4:53,50 of 172,8 of 11,1 of 2,55 of 178,1 of 4,3 of 3
600,Submission,1,1:24,W,Dan Hooker,0,5 of 9,55%,6 of 10,0 of 0,---,1,0,0:13,2 of 5,2 of 2,1 of 2,4 of 8,1 of 1,0 of 0,L,Mark Eddiva,0,4 of 8,50%,7 of 12,0 of 2,0%,0,0,0:17,1 of 4,2 of 3,1 of 1,4 of 8,0 of 0,0 of 0
601,Decision - Unanimous,3,15:00,L,Dan Hooker,0,19 of 79,24%,85 of 162,1 of 3,33%,0,0,6:01,14 of 62,5 of 8,0 of 9,9 of 56,6 of 15,4 of 8,W,Yair Rodriguez,0,52 of 104,50%,67 of 123,2 of 9,22%,0,0,0:30,27 of 72,15 of 19,10 of 13,38 of 80,6 of 14,8 of 10
602,KO/TKO,2,9:13,W,Dan Hooker,1,21 of 61,34%,34 of 74,0 of 0,---,0,1,0:09,18 of 49,1 of 4,2 of 8,17 of 55,2 of 3,2 of 3,L,Hatsu Hioki,0,32 of 92,34%,38 of 98,2 of 5,40%,0,0,2:00,23 of 70,8 of 21,1 of 1,32 of 92,0 of 0,0 of 0
603,Decision - Unanimous,3,15:00,L,Dan Hooker,0,99 of 236,41%,116 of 253,0 of 0,---,0,0,1:45,75 of 201,19 of 27,5 of 8,66 of 174,33 of 62,0 of 0,W,Maximo Blanco,0,132 of 240,55%,137 of 246,3 of 13,23%,0,0,2:35,128 of 232,4 of 8,0 of 0,109 of 198,22 of 41,1 of 1
604,KO/TKO,1,3:34,W,Dan Hooker,0,12 of 18,66%,51 of 67,0 of 0,---,0,0,1:53,11 of 17,1 of 1,0 of 0,3 of 5,1 of 1,8 of 12,L,Ian Entwistle,0,1 of 9,11%,1 of 9,0 of 2,0%,3,0,0:21,0 of 8,1 of 1,0 of 0,0 of 8,1 of 1,0 of 0
605,Submission,3,10:28,W,Charles Oliveira,0,43 of 65,66%,51 of 73,0 of 1,0%,2,1,0:11,28 of 49,9 of 10,6 of 6,35 of 56,2 of 2,6 of 7,L,Kevin Lee,0,41 of 80,51%,61 of 100,2 of 3,66%,0,1,6:30,35 of 74,6 of 6,0 of 0,31 of 65,0 of 0,10 of 15
606,KO/TKO,1,1:26,W,Charles Oliveira,1,10 of 16,62%,10 of 16,0 of 1,0%,0,0,0:02,5 of 9,1 of 3,4 of 4,8 of 14,0 of 0,2 of 2,L,Jared Gordon,0,7 of 18,38%,7 of 18,0 of 0,---,0,0,0:05,7 of 16,0 of 2,0 of 0,7 of 18,0 of 0,0 of 0
607,KO/TKO,2,7:11,W,Charles Oliveira,1,38 of 59,64%,43 of 64,0 of 0,---,1,1,1:37,23 of 38,13 of 19,2 of 2,20 of 34,10 of 17,8 of 8,L,Nik Lentz,0,18 of 49,36%,21 of 53,2 of 4,50%,0,0,1:40,10 of 36,5 of 9,3 of 4,10 of 39,6 of 8,2 of 2
608,Submission,2,5:55,W,Charles Oliveira,0,28 of 58,48%,31 of 61,1 of 1,100%,1,0,0:13,21 of 42,4 of 12,3 of 4,21 of 45,7 of 13,0 of 0,L,David Teymur,1,26 of 53,49%,31 of 59,0 of 0,---,0,0,0:35,16 of 40,6 of 8,4 of 5,23 of 47,0 of 0,3 of 6
609,Submission,1,1:15,W,Charles Oliveira,0,0 of 1,0%,1 of 2,1 of 1,100%,1,0,0:47,0 of 0,0 of 0,0 of 1,0 of 1,0 of 0,0 of 0,L,Jim Miller,0,1 of 2,50%,1 of 2,0 of 0,---,0,0,0:00,0 of 1,0 of 0,1 of 1,1 of 2,0 of 0,0 of 0
610,Submission,2,8:22,W,Charles Oliveira,0,28 of 60,46%,28 of 60,2 of 4,50%,1,0,1:21,13 of 35,7 of 14,8 of 11,25 of 55,1 of 3,2 of 2,L,Christos Giagos,0,18 of 80,22%,20 of 82,0 of 0,---,0,0,0:07,13 of 65,3 of 12,2 of 3,16 of 76,1 of 3,1 of 1
611,Submission,1,2:18,W,Charles Oliveira,0,14 of 29,48%,14 of 29,0 of 0,---,1,0,0:02,6 of 18,1 of 2,7 of 9,14 of 28,0 of 1,0 of 0,L,Clay Guida,0,9 of 25,36%,9 of 25,0 of 1,0%,0,0,0:00,4 of 20,3 of 3,2 of 2,8 of 24,1 of 1,0 of 0
612,KO/TKO,2,9:06,L,Charles Oliveira,0,6 of 13,46%,12 of 20,2 of 3,66%,2,1,2:52,3 of 8,0 of 1,3 of 4,3 of 5,1 of 2,2 of 6,W,Paul Felder,0,31 of 46,67%,37 of 52,0 of 0,---,0,0,4:51,26 of 40,4 of 5,1 of 1,1 of 4,4 of 4,26 of 38
613,Submission,1,2:30,W,Charles Oliveira,0,3 of 7,42%,3 of 7,2 of 2,100%,1,0,1:42,0 of 2,1 of 2,2 of 3,2 of 6,1 of 1,0 of 0,L,Will Brooks,0,4 of 5,80%,8 of 9,0 of 0,---,0,0,0:00,1 of 2,2 of 2,1 of 1,4 of 5,0 of 0,0 of 0
614,Submission,2,7:13,L,Charles Oliveira,0,13 of 18,72%,36 of 42,2 of 2,100%,2,0,3:38,11 of 16,1 of 1,1 of 1,6 of 9,1 of 2,6 of 7,W,Ricardo Lamas,0,11 of 20,55%,13 of 22,1 of 1,100%,1,1,2:27,7 of 14,1 of 3,3 of 3,8 of 15,0 of 0,3 of 5
615,Submission,3,11:49,L,Charles Oliveira,0,41 of 86,47%,60 of 105,4 of 11,36%,0,0,4:57,23 of 57,17 of 28,1 of 1,27 of 63,8 of 12,6 of 11,W,Anthony Pettis,0,53 of 87,60%,77 of 114,0 of 0,---,1,5,3:11,41 of 67,12 of 20,0 of 0,35 of 53,0 of 1,18 of 33
616,Submission,1,3:05,W,Charles Oliveira,0,5 of 10,50%,10 of 16,1 of 1,100%,1,0,0:11,0 of 4,3 of 4,2 of 2,5 of 10,0 of 0,0 of 0,L,Myles Jury,0,5 of 16,31%,5 of 16,0 of 0,---,0,0,1:37,3 of 14,1 of 1,1 of 1,5 of 16,0 of 0,0 of 0
617,KO/TKO,1,1:39,L,Charles Oliveira,0,5 of 17,29%,5 of 17,0 of 1,0%,0,0,0:00,3 of 15,1 of 1,1 of 1,4 of 16,1 of 1,0 of 0,W,Max Holloway,0,14 of 29,48%,14 of 29,0 of 0,---,0,0,0:06,6 of 20,8 of 9,0 of 0,14 of 29,0 of 0,0 of 0
618,Submission,3,11:10,W,Charles Oliveira,1,64 of 84,76%,84 of 105,1 of 2,50%,2,0,1:57,36 of 51,25 of 28,3 of 5,13 of 20,23 of 27,28 of 37,L,Nik Lentz,0,37 of 69,53%,58 of 95,2 of 10,20%,1,0,6:20,24 of 53,8 of 10,5 of 6,19 of 41,12 of 21,6 of 7
619,Decision - Unanimous,3,15:00,W,Charles Oliveira,0,43 of 67,64%,74 of 100,2 of 7,28%,3,0,5:22,25 of 46,12 of 15,6 of 6,20 of 39,15 of 17,8 of 11,L,Jeremy Stephens,0,48 of 79,60%,55 of 88,0 of 0,---,0,0,6:19,34 of 59,8 of 11,6 of 9,25 of 47,6 of 6,17 of 26
620,Submission,2,9:32,W,Charles Oliveira,0,24 of 38,63%,33 of 52,3 of 5,60%,2,0,2:23,10 of 23,10 of 11,4 of 4,3 of 14,14 of 17,7 of 7,L,Hatsu Hioki,0,11 of 27,40%,31 of 51,3 of 4,75%,0,0,5:57,7 of 21,4 of 6,0 of 0,6 of 17,2 of 3,3 of 7
621,Submission,3,12:40,W,Charles Oliveira,0,23 of 43,53%,57 of 79,3 of 8,37%,2,0,6:09,9 of 28,12 of 13,2 of 2,7 of 20,9 of 15,7 of 8,L,Andy Ogle,0,21 of 49,42%,34 of 62,1 of 2,50%,0,0,4:29,16 of 42,4 of 6,1 of 1,12 of 34,5 of 8,4 of 7
622,Decision - Unanimous,3,15:00,L,Charles Oliveira,0,38 of 125,30%,59 of 146,0 of 4,0%,1,0,0:01,27 of 101,7 of 17,4 of 7,31 of 117,5 of 6,2 of 2,W,Frankie Edgar,0,81 of 146,55%,114 of 182,2 of 5,40%,0,0,5:03,53 of 112,23 of 29,5 of 5,61 of 122,4 of 5,16 of 19
623,KO/TKO,1,2:40,L,Charles Oliveira,0,6 of 18,33%,10 of 22,1 of 2,50%,0,0,0:46,5 of 17,0 of 0,1 of 1,4 of 15,0 of 0,2 of 3,W,Cub Swanson,1,9 of 21,42%,9 of 21,0 of 0,---,0,0,0:02,6 of 13,2 of 3,1 of 5,9 of 20,0 of 0,0 of 1
624,Submission,2,7:42,W,Charles Oliveira,0,42 of 76,55%,48 of 82,1 of 2,50%,1,0,0:59,21 of 52,10 of 13,11 of 11,32 of 63,8 of 9,2 of 4,L,Jonathan Brookins,0,27 of 74,36%,27 of 74,1 of 2,50%,1,0,1:07,22 of 63,4 of 9,1 of 2,22 of 64,5 of 10,0 of 0
625,Submission,1,1:43,W,Charles Oliveira,0,6 of 12,50%,7 of 13,1 of 1,100%,2,0,0:35,2 of 6,1 of 2,3 of 4,3 of 5,0 of 0,3 of 7,L,Eric Wisely,0,2 of 4,50%,3 of 5,0 of 0,---,0,0,0:06,0 of 1,1 of 2,1 of 1,2 of 4,0 of 0,0 of 0
626,KO/TKO,1,3:01,L,Charles Oliveira,0,10 of 29,34%,10 of 29,0 of 0,---,0,0,0:00,5 of 19,3 of 6,2 of 4,10 of 27,0 of 2,0 of 0,W,Donald Cerrone,0,30 of 60,50%,32 of 63,0 of 0,---,0,0,0:12,22 of 49,2 of 4,6 of 7,14 of 34,1 of 2,15 of 24
627,Overturned,2,6:48,NC,Charles Oliveira,1,31 of 59,52%,61 of 93,1 of 2,50%,3,2,2:16,23 of 47,6 of 9,2 of 3,11 of 27,12 of 19,8 of 13,NC,Nik Lentz,0,14 of 33,42%,19 of 40,2 of 7,28%,2,0,2:22,9 of 24,1 of 3,4 of 6,12 of 28,0 of 1,2 of 4
628,Submission,1,1:59,L,Charles Oliveira,0,5 of 8,62%,8 of 12,0 of 1,0%,0,0,0:00,2 of 5,2 of 2,1 of 1,3 of 5,0 of 1,2 of 2,W,Jim Miller,0,1 of 6,16%,6 of 11,1 of 1,100%,2,0,1:31,1 of 6,0 of 0,0 of 0,0 of 4,0 of 0,1 of 2
629,Submission,3,12:25,W,Charles Oliveira,0,35 of 91,38%,60 of 118,2 of 9,22%,1,0,1:04,9 of 52,9 of 17,17 of 22,31 of 86,4 of 5,0 of 0,L,Efrain Escudero,0,13 of 76,17%,26 of 89,0 of 1,0%,0,0,2:47,10 of 68,1 of 2,2 of 6,7 of 65,4 of 7,2 of 4
630,Submission,1,0:41,W,Charles Oliveira,0,3 of 4,75%,3 of 4,0 of 0,---,2,0,0:00,2 of 3,0 of 0,1 of 1,1 of 1,0 of 0,2 of 3,L,Darren Elkins,0,0 of 4,0%,0 of 4,1 of 1,100%,0,0,0:27,0 of 4,0 of 0,0 of 0,0 of 4,0 of 0,0 of 0
631,Decision - Split,5,25:00,L,Paul Felder,0,110 of 230,47%,119 of 243,0 of 1,0%,0,0,0:03,64 of 170,19 of 26,27 of 34,105 of 218,5 of 12,0 of 0,W,Dan Hooker,0,122 of 221,55%,133 of 234,1 of 5,20%,0,0,5:05,72 of 161,10 of 13,40 of 47,120 of 217,2 of 4,0 of 0
632,Decision - Split,3,15:00,W,Paul Felder,0,56 of 154,36%,75 of 174,0 of 2,0%,0,0,2:03,41 of 137,9 of 10,6 of 7,51 of 147,1 of 1,4 of 6,L,Edson Barboza,0,60 of 114,52%,77 of 133,1 of 3,33%,0,0,1:49,27 of 74,19 of 24,14 of 16,55 of 109,0 of 0,5 of 5
633,Decision - Unanimous,3,15:00,W,Paul Felder,0,55 of 119,46%,70 of 134,0 of 0,---,0,0,1:13,31 of 79,4 of 8,20 of 32,48 of 109,7 of 10,0 of 0,L,James Vick,0,61 of 121,50%,69 of 129,0 of 0,---,0,0,2:14,24 of 75,16 of 21,21 of 25,57 of 112,4 of 9,0 of 0
634,Decision - Split,3,15:00,L,Paul Felder,0,56 of 120,46%,64 of 128,0 of 1,0%,0,0,0:45,27 of 79,16 of 24,13 of 17,48 of 110,7 of 9,1 of 1,W,Mike Perry,0,62 of 110,56%,66 of 114,2 of 3,66%,0,0,3:02,34 of 78,15 of 18,13 of 14,42 of 86,17 of 21,3 of 3
635,KO/TKO,2,9:06,W,Paul Felder,0,31 of 46,67%,37 of 52,0 of 0,---,0,0,4:51,26 of 40,4 of 5,1 of 1,1 of 4,4 of 4,26 of 38,L,Charles Oliveira,0,6 of 13,46%,12 of 20,2 of 3,66%,2,1,2:52,3 of 8,0 of 1,3 of 4,3 of 5,1 of 2,2 of 6
636,KO/TKO,1,3:57,W,Paul Felder,1,23 of 35,65%,28 of 41,0 of 0,---,0,0,1:06,14 of 24,7 of 9,2 of 2,4 of 7,7 of 10,12 of 18,L,Stevie Ray,0,5 of 9,55%,11 of 15,0 of 1,0%,0,0,1:45,2 of 6,2 of 2,1 of 1,2 of 4,3 of 5,0 of 0
637,KO/TKO,1,4:44,W,Paul Felder,1,23 of 71,32%,23 of 71,0 of 0,---,0,0,0:03,14 of 57,4 of 7,5 of 7,23 of 66,0 of 1,0 of 4,L,Alex Ricci,0,21 of 59,35%,21 of 59,0 of 0,---,0,0,0:00,12 of 41,3 of 10,6 of 8,21 of 59,0 of 0,0 of 0
638,TKO - Doctor's Stoppage,3,12:25,L,Paul Felder,0,33 of 84,39%,38 of 90,0 of 0,---,0,0,0:27,10 of 52,11 of 19,12 of 13,28 of 74,4 of 9,1 of 1,W,Francisco Trinaldo,0,32 of 67,47%,42 of 85,1 of 3,33%,0,0,4:22,16 of 48,13 of 16,3 of 3,20 of 51,7 of 11,5 of 5
